locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKFMKLHP_00001	CDS	447				hypothetical protein
AKFMKLHP_00002	CDS	684				hypothetical protein
AKFMKLHP_00003	CDS	6858	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
AKFMKLHP_00004	CDS	759				hypothetical protein
AKFMKLHP_00005	CDS	2628				hypothetical protein
AKFMKLHP_00006	CDS	729				hypothetical protein
AKFMKLHP_00007	CDS	1935				hypothetical protein
AKFMKLHP_00008	CDS	825				hypothetical protein
AKFMKLHP_00009	CDS	219				hypothetical protein
AKFMKLHP_00010	CDS	1104				hypothetical protein
AKFMKLHP_00011	CDS	213	uviB			Bacteriocin UviB
AKFMKLHP_00012	CDS	267				hypothetical protein
AKFMKLHP_00013	CDS	447	bdbB		COG1495	SPbeta prophage-derived disulfide bond formation protein B
AKFMKLHP_00014	CDS	1269	sunS	2.4.1.-	COG0463	SPbeta prophage-derived glycosyltransferase SunS
AKFMKLHP_00015	CDS	414				hypothetical protein
AKFMKLHP_00016	CDS	2118	lagD	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
AKFMKLHP_00017	CDS	171	sunA			SPbeta prophage-derived bacteriocin sublancin-168
AKFMKLHP_00018	CDS	318	sunI			Sublancin immunity protein SunI
AKFMKLHP_00019	CDS	1251	dinB_1	2.7.7.7		DNA polymerase IV
AKFMKLHP_00020	CDS	333				hypothetical protein
AKFMKLHP_00021	CDS	312				hypothetical protein
AKFMKLHP_00022	CDS	357				hypothetical protein
AKFMKLHP_00023	CDS	468	yolA			SPbeta prophage-derived uncharacterized protein YolA
AKFMKLHP_00024	CDS	198				hypothetical protein
AKFMKLHP_00025	CDS	534	speG	2.3.1.57		Spermidine N(1)-acetyltransferase
AKFMKLHP_00026	CDS	579				hypothetical protein
AKFMKLHP_00027	CDS	498	yokJ			Antitoxin YokJ
AKFMKLHP_00028	CDS	1716	yokI	3.1.-.-		putative ribonuclease YokI
AKFMKLHP_00029	CDS	489				hypothetical protein
AKFMKLHP_00030	CDS	1074				hypothetical protein
AKFMKLHP_00031	CDS	891	yokF	3.1.-.-	COG1525	SPbeta prophage-derived endonuclease YokF
AKFMKLHP_00032	CDS	483				hypothetical protein
AKFMKLHP_00033	CDS	819	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
AKFMKLHP_00034	CDS	156				hypothetical protein
AKFMKLHP_00035	CDS	150				hypothetical protein
AKFMKLHP_00036	CDS	516				hypothetical protein
AKFMKLHP_00037	CDS	711				hypothetical protein
